id,level,profile,stack,experience,salary,location,comments
9ef6ce016faf3b36ffe5a66847885d96,senior,Analyst/Programmer,"microservices, springboot, java, web services, hibernate, angular, oracle, SQL, git, maven, jenkins, kubernetes, docker",6.0,50.0,Madrid,
bf14c703e780484c55ebf101d7459211,expert,Analyst/Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",8.0,42.0,Madrid,
31297b1465a8ceeb9f96afdb0455b234,senior,Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",3.0,26.0,Madrid,Le da importancia a la información del proyecto para poder convencerle porque no le mola mucho el tema consultoras.
3160c696ae92ebcd9a3df1d795f4066b,senior,Testing,"cucumber, selenium, jenkins, java, scrum, guerkin",7.0,50.0,Madrid,
a41894175784196c613f470449990d3a,expert,Analyst/Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",15.0,45.0,Madrid,Tengo su CV.
4af80979022a843aa3173fd65be4ef74,expert,Analyst/Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",13.0,45.0,Madrid,Tengo su CV.
8117aa363deab15f651a1370c8be565c,expert,Analyst/Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",17.0,38.0,Madrid,
8108438e031571811cdbce9321ae910a,expert,Analyst/Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",10.0,32.0,Madrid,Tengo su CV.
b281a607909fbf1eef51b1797d09ab44,senior,Programmer,"java, oracle, SQL, mongodb, web services, spring, maven",3.0,36.0,Madrid,
c1c610739c0b028090e7ebc02bb2efa4,senior,Programmer,"java, oracle, SQL, mongodb, web services, spring, maven",3.0,31.0,Madrid,Tengo su CV.
b5a7aa465cb3b98c912127ac037ac45d,senior,Cybersecurity,"SOC, splunk, nessus, qradar, IAM, remedy, checkpoint ",5.0,45.0,Madrid,quedamos en contacto para un futuro
51943680e38f81cfc8b5267785680d0d,senior,Cybersecurity,"SOC, splunk, nessus, qradar, IAM, remedy, checkpoint ",3.0,38.0,Madrid,
f82f7311e41089f1da66e16ddadb029b,senior,Programmer,"java, spring, hibernate, jsp, git, bitbucket, maven, eclipse, jira, SQL",4.0,43.0,Madrid,Prefiere zona centro. Tengo su CV.
655d8d0e4e2c72da240525ab19cc73fa,senior,Analyst/Programmer,"java, maven, spring, microservices, angular, hibernate, javascript",7.0,45.0,Madrid,mínimo 3 días de teletrabajo.
498d9bc427e3beb9e6e11f68b45836b1,senior,Analyst/Programmer,"java, spring, hibernate, maven, eclipse, SQL",5.0,35.0,Madrid,
d7a098ce8cb167dc37a51cfa631abd97,junior,Data Analyst,"python, powerBI, SQL, spark, git, azure, aws ",1.0,24.0,Madrid,
95a80f1c4b41ff95dcca11659c3f580f,senior,Programmer,"C++, C, SQL, oracle, linux, HTML5, CSS3, python",3.0,27.0,Madrid,
0f57801bb352f65c01bd04e3fa32f781,senior,Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",5.0,27.0,Madrid,Para tener en cuenta para posiciones junior. Tengo su CV.
7e9f690fd2f39b47a09770dedda48e62,senior,Programmer,"java, spring, hibernate, maven, eclipse, SQL, oracle, HTML5, CSS3, javascript, web services, jenkins",3.0,45.0,Madrid,
04479f3f4c423bfeb9eb0badb2c6cb20,junior,Data Analyst,"python, powerBI, SQL, spark, git, azure, aws ",2.0,28.0,Madrid,
ad38a2bf7740cad0c15d9a4fb2a20bb5,senior,Programmer,"java, spring, hibernate, maven, eclipse, SQL, oracle, HTML5, CSS3, javascript, web services, jenkins",3.0,32.0,Madrid,
a6bf4c52467f78cd81361e9836ea6604,senior,Testing,"cucumber, selenium, jenkins, java, scrum, guerkin",4.0,38.0,Madrid,
43346de0cae028e00ec120e9aae54fa1,senior,Programmer,"java, spring, hibernate, maven, eclipse, SQL, oracle, HTML5, CSS3, javascript, web services, jenkins",3.0,40.0,Madrid,
32f1cc8342f15c391c664930f523455d,senior,Testing,"cucumber, selenium, jenkins, java, scrum, guerkin",3.0,30.0,Madrid,
64b0efc438fee1b0d52ade551308d0c6,senior,Programmer,".NET, ASP.NET, entity framework, MVC, SQL, bootstrap, jquery, C#, HTML5, CSS3",6.0,32.0,Valladolid,
c0d3c958cae0839021e02cec40b43551,senior,Programmer,"C++, C, SQL, oracle, linux, HTML5, CSS3, python",7.0,38.0,Madrid,Tengo su CV
